nom_standard,population,dep_nom,reg_nom,latitude_mairie,longitude_mairie
Pontault-Combault,39096,Seine-et-Marne,Île-de-France,48.802,2.608
Saint-Benoît,38604,La Réunion,La Réunion,-21.034,55.713
La Ciotat,38477,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.174,5.605
Joué-lès-Tours,38423,Indre-et-Loire,Centre-Val de Loire,47.351,0.662
Tremblay-en-France,38348,Seine-Saint-Denis,Île-de-France,48.951,2.571
Chartres,38324,Eure-et-Loir,Centre-Val de Loire,48.444,1.489
Oullins,38168,Rhône,Auvergne-Rhône-Alpes,45.714,4.807
Thonon-les-Bains,37928,Haute-Savoie,Auvergne-Rhône-Alpes,46.373,6.478
Franconville,37754,Val-d'Oise,Île-de-France,48.986,2.23
Saint-Martin-d'Hères,37695,Isère,Auvergne-Rhône-Alpes,45.184,5.755
Annemasse,37628,Haute-Savoie,Auvergne-Rhône-Alpes,46.193,6.234
Savigny-sur-Orge,37601,Essonne,Île-de-France,48.68,2.346
Échirolles,37491,Isère,Auvergne-Rhône-Alpes,45.148,5.717
Palaiseau,37471,Essonne,Île-de-France,48.715,2.246
Romainville,37152,Seine-Saint-Denis,Île-de-France,48.886,2.435
Saint-Raphaël,37113,Var,Provence-Alpes-Côte d'Azur,43.425,6.768
Six-Fours-les-Plages,37109,Var,Provence-Alpes-Côte d'Azur,43.093,5.839
Sainte-Marie,37093,La Réunion,La Réunion,-20.897,55.549
Conflans-Sainte-Honorine,36958,Yvelines,Île-de-France,48.994,2.095
Vitrolles,36758,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.448,5.25
Châtillon,36705,Hauts-de-Seine,Île-de-France,48.8,2.29
Meyzieu,36687,Rhône,Auvergne-Rhône-Alpes,45.765,5.005
Athis-Mons,36613,Essonne,Île-de-France,48.708,2.389
La Possession,36568,La Réunion,La Réunion,-20.926,55.336
Matoury,36512,Guyane,Guyane,4.85,-52.331
Bezons,36434,Val-d'Oise,Île-de-France,48.928,2.216
Haguenau,36391,Bas-Rhin,Grand Est,48.817,7.788
Creil,36301,Oise,Hauts-de-France,49.261,2.473
Villeneuve-Saint-Georges,36221,Val-de-Marne,Île-de-France,48.731,2.448
Villefranche-sur-Saône,36172,Rhône,Auvergne-Rhône-Alpes,45.989,4.715
Saint-Leu,36163,La Réunion,La Réunion,-21.166,55.287
Châtenay-Malabry,35825,Hauts-de-Seine,Île-de-France,48.767,2.278
Saint-Chamond,35646,Loire,Auvergne-Rhône-Alpes,45.476,4.513
Sainte-Geneviève-des-Bois,35438,Essonne,Île-de-France,48.641,2.327
Roanne,35409,Loire,Auvergne-Rhône-Alpes,46.034,4.073
Le Perreux-sur-Marne,35260,Val-de-Marne,Île-de-France,48.841,2.508
Mâcon,35177,Saône-et-Loire,Bourgogne-Franche-Comté,46.303,4.833
Auxerre,35097,Yonne,Bourgogne-Franche-Comté,47.796,3.57
Schiltigheim,34708,Bas-Rhin,Grand Est,48.605,7.749
Trappes,34689,Yvelines,Île-de-France,48.776,1.999
Les Mureaux,34632,Yvelines,Île-de-France,48.994,1.909
Houilles,33983,Yvelines,Île-de-France,48.923,2.186
Le Port,33969,La Réunion,La Réunion,-20.935,55.29
Marignane,33692,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.417,5.216
Romans-sur-Isère,33464,Drôme,Auvergne-Rhône-Alpes,45.045,5.052
Villiers-sur-Marne,33162,Val-de-Marne,Île-de-France,48.826,2.541
Montluçon,33147,Allier,Auvergne-Rhône-Alpes,46.34,2.607
Nevers,33085,Nièvre,Bourgogne-Franche-Comté,46.988,3.158
Lens,32920,Pas-de-Calais,Hauts-de-France,50.429,2.832
Thiais,32918,Val-de-Marne,Île-de-France,48.764,2.391
Saint-Médard-en-Jalles,32910,Gironde,Nouvelle-Aquitaine,44.896,-0.717
Agen,32801,Lot-et-Garonne,Nouvelle-Aquitaine,44.203,0.616
Montigny-le-Bretonneux,32465,Yvelines,Île-de-France,48.77,2.038
Nogent-sur-Marne,32455,Val-de-Marne,Île-de-France,48.839,2.492
Aix-les-Bains,32406,Savoie,Auvergne-Rhône-Alpes,45.689,5.915
Épinal,32251,Vosges,Grand Est,48.175,6.45
Saint-Laurent-du-Var,32172,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.675,7.192
Koungou,32156,Mayotte,Mayotte,-12.733,45.204
Pontoise,31970,Val-d'Oise,Île-de-France,49.051,2.101
Bègles,31831,Gironde,Nouvelle-Aquitaine,44.808,-0.544
Plaisir,31811,Yvelines,Île-de-France,48.817,1.947
Herblay-sur-Seine,31779,Val-d'Oise,Île-de-France,48.99,2.165
Vienne,31778,Isère,Auvergne-Rhône-Alpes,45.526,4.875
Carpentras,31619,Vaucluse,Provence-Alpes-Côte d'Azur,44.056,5.049
Mont-de-Marsan,31592,Landes,Nouvelle-Aquitaine,43.891,-0.501
Dreux,31543,Eure-et-Loir,Centre-Val de Loire,48.736,1.371
Vigneux-sur-Seine,31466,Essonne,Île-de-France,48.7,2.417
Rillieux-la-Pape,31389,Rhône,Auvergne-Rhône-Alpes,45.819,4.898
Goussainville,31301,Val-d'Oise,Île-de-France,49.032,2.473
Ris-Orangis,31189,Essonne,Île-de-France,48.654,2.416
L'Haÿ-les-Roses,31188,Val-de-Marne,Île-de-France,48.779,2.338
Savigny-le-Temple,31148,Seine-et-Marne,Île-de-France,48.596,2.581
Cambrai,31134,Nord,Hauts-de-France,50.176,3.235
Cachan,31103,Val-de-Marne,Île-de-France,48.795,2.334
Châtellerault,31003,Vienne,Nouvelle-Aquitaine,46.818,0.547
Baie-Mahault,30924,Guadeloupe,Guadeloupe,16.268,-61.587
Viry-Châtillon,30838,Essonne,Île-de-France,48.671,2.375
Le Chesnay-Rocquencourt,30689,Yvelines,Île-de-France,48.826,2.125
Menton,30604,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.776,7.503
Chatou,30598,Yvelines,Île-de-France,48.89,2.158
Malakoff,30557,Hauts-de-Seine,Île-de-France,48.821,2.302
La Garenne-Colombes,30197,Hauts-de-Seine,Île-de-France,48.907,2.247
Tournefeuille,30168,Haute-Garonne,Occitanie,43.583,1.347
Bourgoin-Jallieu,30151,Isère,Auvergne-Rhône-Alpes,45.594,5.277
Draveil,30098,Essonne,Île-de-France,48.682,2.405
Liévin,30063,Pas-de-Calais,Hauts-de-France,50.421,2.785
Villiers-le-Bel,30053,Val-d'Oise,Île-de-France,49.008,2.388
Vandœuvre-lès-Nancy,29942,Meurthe-et-Moselle,Grand Est,48.66,6.173
Agde,29939,Hérault,Occitanie,43.313,3.478
Décines-Charpieu,29877,Rhône,Auvergne-Rhône-Alpes,45.768,4.957
Saint-Cloud,29855,Hauts-de-Seine,Île-de-France,48.844,2.219
Villemomble,29795,Seine-Saint-Denis,Île-de-France,48.882,2.508
Guyancourt,29778,Yvelines,Île-de-France,48.771,2.07
Orange,29706,Vaucluse,Provence-Alpes-Côte d'Azur,44.138,4.807
Fresnes,29528,Val-de-Marne,Île-de-France,48.755,2.322
